pixel,wavelength_nm_reported,raman_shift_reported_cm-1,counts_pixel_file,counts_nm2_file,counts_wavenumber_file,counts_nm_file_weak
483,879.897,1358.58,839.0,756.0,631.0,303.0
484,880.073,1360.87,825.0,747.0,643.0,295.0
485,880.248,1363.16,825.0,712.0,629.0,298.0
486,880.424,1365.44,812.0,684.0,611.0,288.0
487,880.599,1367.73,785.0,689.0,617.0,278.0
488,880.775,1370.01,794.0,739.0,616.0,300.0
489,880.951,1372.29,825.0,727.0,632.0,309.0
490,881.126,1374.58,829.0,698.0,641.0,298.0
491,881.301,1376.85,823.0,715.0,617.0,296.0
492,881.477,1379.13,832.0,713.0,616.0,289.0
493,881.652,1381.41,835.0,704.0,630.0,296.0
494,881.827,1383.69,806.0,723.0,641.0,301.0
495,882.003,1385.96,812.0,731.0,629.0,280.0
496,882.178,1388.23,821.0,687.0,609.0,252.0
497,882.353,1390.5,804.0,679.0,615.0,271.0
498,882.528,1392.77,810.0,687.0,616.0,292.0
499,882.703,1395.04,801.0,692.0,623.0,283.0
500,882.879,1397.31,791.0,725.0,611.0,296.0
501,883.054,1399.58,796.0,713.0,604.0,288.0
502,883.229,1401.84,798.0,688.0,596.0,274.0
503,883.404,1404.1,795.0,696.0,601.0,292.0
504,883.578,1406.37,779.0,678.0,612.0,279.0
505,883.753,1408.63,774.0,687.0,615.0,263.0
506,883.928,1410.89,800.0,698.0,641.0,293.0
507,884.103,1413.14,797.0,700.0,627.0,302.0
508,884.278,1415.4,803.0,731.0,610.0,308.0
509,884.452,1417.66,813.0,735.0,624.0,312.0
510,884.627,1419.91,804.0,726.0,630.0,298.0
511,884.802,1422.16,791.0,709.0,603.0,286.0
512,884.976,1424.41,792.0,700.0,589.0,276.0
513,885.151,1426.66,798.0,683.0,588.0,278.0
514,885.325,1428.91,810.0,686.0,587.0,291.0
515,885.5,1431.16,807.0,712.0,608.0,294.0
516,885.674,1433.4,787.0,694.0,613.0,294.0
