USB4F00653_1:101,
515.34,497.97836
515.547,567.22589
515.755,195.41415
515.963,342.57563
516.171,176.48183
516.378,676.27812
516.586,508.47251
516.794,1523.15819
517.001,144.922
517.209,298.44372
517.417,390.89463
517.624,-15.0981
517.832,340.47443
518.04,500.07725
518.247,1335.31312
518.455,495.87944
518.662,155.44277
518.87,300.54556
519.078,1222.5151
519.285,-109.94146
519.493,680.47088
519.7,453.8947
519.908,1466.82409
520.115,965.31709
520.323,35.45595
520.53,197.51758
520.737,579.81287
520.945,187.00012
521.152,1049.00094
521.36,231.16794
521.567,621.76184
521.774,136.50477
521.982,1420.91003
522.189,287.93406
522.396,563.02999
522.604,39.66789
522.811,533.65539
523.018,474.88859
523.226,743.34856
523.433,180.68924
523.64,466.4914
523.847,931.83182
524.054,497.97836
524.262,376.1906
524.469,-4.56435
524.676,537.85212
524.883,1293.54421
525.09,279.52575
525.297,313.15592
525.505,371.98917
525.712,470.69006
525.919,395.0955
526.126,294.23995
526.333,176.48183
526.54,1954.5328
526.747,313.15592
526.954,-36.16821
527.161,584.00829
527.368,262.70758
527.575,-120.48406
527.782,50.19713
527.989,462.29262
528.196,615.47024
528.403,247.98999
528.61,1207.88798
528.816,285.83203
529.023,602.88625
529.23,8.07499
529.437,1197.4393
529.644,296.34185
529.851,382.49251
530.057,-90.96703
530.264,323.66367
530.471,300.54556
530.678,1086.64522
530.884,138.60913
531.091,802.01158
531.298,365.68679
531.505,563.02999
531.711,269.01463
531.918,659.50596
532.125,271.11692
532.331,688.85605
532.538,1329.04839
532.745,873.21621
532.951,933.92485
533.158,1201.61885
533.364,432.89775
533.571,365.68679
533.777,411.89774
533.984,1418.82276
534.19,428.698
534.397,533.65539
534.603,1387.51101
534.81,625.95609
535.016,489.58251
535.223,81.77971
535.429,732.87071
535.636,539.95044
535.842,416.09799
536.048,508.47251
536.255,609.17837
536.461,1080.37175
536.668,111.24989
536.874,470.69006
537.08,818.76846
537.287,1086.64522
537.493,416.09799
537.699,560.932
537.905,892.05923
538.112,690.95227
538.318,894.15277
538.524,655.31263
538.73,1186.99001
538.936,485.3844
539.143,818.76846
539.349,944.38959
539.555,1391.68621
539.761,1656.62648
539.967,1787.92362
540.173,2016.97858
540.379,1960.77816
540.585,2133.49803
540.792,2229.16681
540.998,2012.81607
541.204,2362.20799
541.41,2677.90159
541.616,2237.48402
541.822,2746.39106
542.028,2599.01367
542.234,2488.94679
542.44,2141.8186
542.645,2270.74997
542.851,2071.08427
543.057,2029.46566
543.263,2511.79466
543.469,4234.99543
543.675,2243.72174
543.881,2382.98919
544.087,2141.8186
544.292,2237.48402
544.498,2245.80094
544.704,2281.14465
544.91,2385.06722
545.116,3030.55038
545.321,3904.26618
545.527,4263.92181
545.733,4369.28032
545.938,4212.2662
546.144,4133.7377
546.35,3771.89775
546.555,3376.57709
546.761,2582.40274
546.967,3092.73879
547.172,3080.30212
547.378,2922.72682
547.584,1873.32687
547.789,1862.91367
547.995,2106.45414
548.2,2000.32808
548.406,2328.95446
548.611,1710.82271
548.817,1790.00703
549.022,1464.73733
549.228,1214.15689
549.433,2083.56837
549.639,1203.70858
549.844,768.49253
550.05,1136.82482
550.255,1312.34139
550.46,783.15799
550.666,667.89227
550.871,1063.64136
551.076,684.66352
551.282,1466.82409
551.487,1303.98733
551.692,644.8288
551.898,1130.55316
552.103,781.063
552.308,504.27494
552.513,837.61784
552.719,804.10629
552.924,1063.64136
553.129,357.28317
553.334,1896.23417
553.54,287.93406
553.745,718.20054
553.95,711.9129
554.155,222.75614
554.36,468.59074
554.565,500.07725
554.77,41.77381
554.975,201.72433
555.18,598.69135
555.385,1155.63844
555.59,20.71308
555.795,317.35912
556,590.30121
556.205,348.87905
556.41,250.0926
556.615,531.55698
556.82,542.04873
557.025,455.99423
557.23,22.81931
557.435,100.72559
557.64,208.03422
557.845,569.32379
558.05,7432.63708
558.255,121.77335
558.459,942.2967
558.664,611.27569
558.869,684.66352
559.074,218.55004
559.279,743.34856
559.483,1180.72015
559.688,109.1451
559.893,-240.73412
560.098,548.34342
560.302,33.34993
560.507,500.07725
560.712,518.9659
560.916,273.21917
561.121,220.6531
561.325,592.39879
561.53,483.2853
561.735,208.03422
561.939,720.29637
562.144,269.01463
562.348,264.80996
562.553,212.24064
562.757,845.99463
562.962,443.39661
563.166,-160.5542
563.371,600.78882
563.575,827.14623
563.78,311.05427
563.984,923.45945
564.189,586.10596
564.393,871.1224
564.598,-116.26691
564.802,-44.59724
565.006,550.44159
565.211,184.89653
565.415,203.82766
565.619,-154.22647
565.824,382.49251
566.028,776.87296
566.232,447.59594
566.436,155.44277
566.641,277.42359
566.845,1044.81773
567.049,290.03605
567.253,359.38412
567.458,220.6531
567.662,311.05427
567.866,-103.61632
568.07,35.45595
568.274,770.58767
568.478,56.51426
568.682,-177.42977
568.887,71.25304
569.091,-97.29151
569.295,812.48483
569.499,123.87794
569.703,205.93096
569.907,1232.96231
570.111,418.19807
570.315,18.60682
570.519,-242.84483
570.723,336.27193
570.927,462.29262
571.131,-145.79
571.335,62.83109
571.538,142.81774
571.742,653.21592
571.946,155.44277
572.15,678.37452
572.354,214.34381
572.558,502.17611
572.762,237.47645
572.965,130.19151
573.169,60.72551
573.373,447.59594
573.577,-82.53488
573.78,5.96852
573.984,688.85605
574.188,218.55004
574.392,762.20691
574.595,-217.51866
574.799,862.74691
575.003,554.63784
575.206,104.93541
575.41,510.57125
575.613,199.62097
575.817,2133.49803
576.021,-25.63272
576.224,287.93406
576.428,521.06449
576.631,1178.63014
576.835,308.95259
577.038,950.66812
577.242,1212.06728
577.445,363.58593
577.649,31.24388
577.852,355.18219
578.056,306.85088
578.259,969.50227
578.462,395.0955
578.666,609.17837
578.869,418.19807
579.073,642.73195
579.276,502.17611
579.479,483.2853
579.683,1120.09989
579.886,2545.02435
580.089,952.76091
580.292,271.11692
580.496,529.45854
580.699,508.47251
580.902,409.79757
581.105,483.2853
581.309,447.59594
581.512,535.75377
581.715,411.89774
581.918,539.95044
582.121,405.59713
582.324,1729.57961
582.527,1057.36705
582.731,714.00881
582.934,921.36629
583.137,602.88625
583.34,384.59309
583.543,1224.60459
583.746,1258.03314
583.949,623.85898
584.152,594.49634
584.355,359.38412
584.558,728.67937
584.761,1178.63014
584.964,760.11165
585.167,161.75484
585.37,1648.28731
585.572,1132.64374
585.775,378.29127
585.978,651.11918
586.181,630.15023
586.384,1278.92285
586.587,873.21621
586.789,407.69736
586.992,476.98781
587.195,1021.80824
587.398,497.97836
587.601,350.98013
587.803,382.49251
588.006,655.31263
588.209,210.13745
588.411,311.05427
588.614,321.56219
588.817,621.76184
589.019,264.80996
589.222,180.68924
589.425,327.86655
589.627,565.12795
589.83,199.62097
590.032,260.60516
590.235,151.23456
590.437,1019.71631
590.64,598.69135
590.843,285.83203
591.045,1264.3003
591.247,420.29811
591.45,43.87969
591.652,138.60913
591.855,625.95609
592.057,986.24196
592.26,481.18616
592.462,707.721
592.664,688.85605
592.867,979.96477
593.069,590.30121
593.271,747.5395
593.474,308.95259
593.676,518.9659
593.878,567.22589
594.081,226.9621
594.283,245.88735
594.485,607.08103
594.687,315.25753
594.89,795.7273
595.092,1395.86132
595.294,711.9129
595.496,399.29624
595.698,-84.64286
595.9,449.69556
596.103,919.2731
596.305,567.22589
596.507,33.34993
596.709,277.42359
596.911,283.72997
597.113,220.6531
597.315,8.07499
597.517,818.76846
597.719,787.34787
597.921,271.11692
598.123,235.37365
598.325,718.20054
598.527,1381.24803
598.729,667.89227
598.931,-120.48406
599.133,476.98781
599.335,1347.84195
599.536,201.72433
599.738,726.58366
599.94,722.39216
600.142,1585.7326
600.344,302.64737
600.546,88.09531
600.747,1069.91545
600.949,281.62787
601.151,892.05923
601.353,1860.83096
601.554,651.11918
601.756,462.29262
601.958,682.56721
602.16,96.51563
602.361,426.59807
602.563,772.6828
602.764,-120.48406
602.966,378.29127
603.168,319.46067
603.369,292.13802
603.571,-116.26691
603.772,1283.1005
603.974,699.33686
604.176,153.33868
604.377,256.40024
604.579,481.18616
604.78,205.93096
604.981,636.44122
605.183,359.38412
605.384,1349.93
605.586,521.06449
605.787,159.65085
605.989,1038.54272
606.19,558.83397
606.391,657.40931
606.593,768.49253
606.794,172.27428
606.995,233.27081
607.197,965.31709
607.398,770.58767
607.599,17286.27269
607.801,180.68924
608.002,1095.00949
608.203,665.79574
608.404,795.7273
608.605,674.1817
608.807,489.58251
609.008,600.78882
609.209,531.55698
609.41,726.58366
609.611,1005.0721
609.812,1276.83398
610.013,1617.01239
610.215,1689.9797
610.416,2177.17771
610.617,2478.56073
610.818,3885.65461
611.019,3250.22734
611.22,3391.07317
611.421,2522.17939
611.622,2355.97329
611.823,2694.50666
612.024,2227.08747
612.225,2650.9162
612.426,1765.0047
612.626,1581.56159
612.827,1612.84204
613.028,1347.84195
613.229,1771.25556
613.43,1195.3495
613.631,1176.54011
613.832,2014.89734
614.032,1533.58864
614.233,1145.18668
614.434,1113.82763
614.635,1681.64191
614.835,1750.41863
615.036,426.59807
615.237,1852.49995
615.438,900.43321
615.638,703.52899
615.839,1504.38198
616.04,774.77789
616.24,714.00881
616.441,476.98781
616.641,1207.88798
616.842,571.42166
617.043,860.65297
617.243,749.63493
617.444,693.04846
617.644,581.91059
617.845,1669.13457
618.045,575.61732
618.246,1145.18668
618.446,554.63784
618.647,411.89774
618.847,323.66367
619.048,329.96794
619.248,287.93406
619.448,732.87071
619.649,231.16794
619.849,399.29624
620.049,439.19716
620.25,235.37365
620.45,873.21621
620.65,619.66467
620.851,621.76184
621.051,839.71208
621.251,247.98999
621.451,516.86728
621.652,535.75377
621.852,594.49634
622.052,212.24064
622.252,247.98999
622.452,1000.88781
622.653,264.80996
622.853,386.69363
623.053,231.16794
