wavelength_nm_reported,counts
946.609,1345.98567
946.84,1309.77049
947.071,1281.60287
947.301,1240.35703
947.532,1366.10505
947.762,1559.24527
947.993,1625.63475
948.223,1498.8901
948.454,1282.60886
948.684,1156.85789
948.914,1123.65889
949.144,1171.94824
949.375,1324.86019
949.605,1481.78927
949.835,1631.67009
950.065,1618.5935
950.295,1541.13883
950.525,1370.12891
950.755,1188.04454
950.985,1102.5321
951.215,1100.52002
951.444,1119.63475
951.674,1161.88801
951.904,1319.8303
952.134,1410.36729
952.363,1472.73586
952.593,1498.8901
952.822,1460.66461
953.052,1424.45061
953.281,1303.73459
953.511,1227.27898
953.74,1303.73459
953.969,1391.25412
954.199,1356.04537
954.428,1326.87215
954.657,1329.89008
954.886,1470.72399
955.115,1587.41066
955.344,1491.84859
955.573,1332.90801
955.802,1352.0215
956.031,1458.65274
956.26,1739.29862
956.489,1972.64978
956.718,1952.53393
956.947,1786.57364
957.175,1636.69954
957.404,1592.44017
957.633,1512.97306
957.861,1385.21836
958.09,1258.46502
958.318,1284.62084
958.547,1389.2422
958.775,1464.68837
959.003,1578.35752
959.232,1698.05818
959.46,1666.87606
959.688,1605.51686
959.916,1680.95834
960.144,1882.12752
960.373,1982.70766
960.601,1935.43537
960.829,1773.49763
961.057,1618.5935
961.284,1599.48147
961.512,1626.64064
961.74,1787.57948
961.968,2132.56649
962.196,2383.99234
962.423,2368.90733
962.651,2109.43435
962.879,2018.91577
963.106,2107.42285
963.334,2135.58371
963.561,2088.31357
963.789,2083.28479
964.016,2137.59519
964.243,2251.24187
964.471,2617.29836
964.698,3065.76183
964.925,3142.17533
965.152,2667.57765
965.379,2297.504
965.607,2266.32742
965.834,2455.3938
966.061,2876.73106
966.288,3461.88543
966.514,3892.1353
966.741,3888.11455
966.968,3525.22035
967.195,3355.31902
967.422,3431.7255
967.648,3581.51698
967.875,3628.76514
968.102,3609.66491
968.328,3735.32219
968.555,3789.60456
968.781,3769.50009
969.008,3652.89159
969.234,3752.41119
969.46,4042.90959
969.687,4202.7222
969.913,4244.93545
970.139,4072.05842
970.365,3901.18197
970.591,3921.28558
970.817,4009.73988
971.043,4034.86848
971.269,3773.52099
971.495,3513.15666
971.721,3453.84281
971.947,3469.92803
972.173,3600.61739
972.399,3459.87478
972.624,3232.66262
972.85,3163.28926
973.076,3211.54915
973.301,3240.70581
