raman_shift_reported_cm-1,rep1,rep2,rep3
1990.241,396.29779,409.83153,467.0098
1992.941,382.41174,399.56795,461.57617
1995.639,386.83862,391.31634,458.95939
1998.335,379.3926,395.14008,444.47003
2001.029,374.96555,388.90185,451.7152
2003.722,367.11666,377.83304,436.21918
2006.412,370.9408,382.46217,430.18241
2009.101,359.46936,376.82691,426.35836
2011.788,358.66449,373.20458,421.93112
2014.473,353.02943,371.99697,421.72973
2017.156,353.83507,364.14901,421.7305
2019.838,358.46337,363.74611,412.67403
2022.517,351.41973,364.75238,416.09523
2025.195,345.78454,357.50722,404.62399
2027.871,341.55861,356.09878,402.20938
2030.545,348.80378,358.71524,404.2221
2033.217,347.39481,353.28131,394.76329
2035.887,342.16221,356.50113,402.6117
2038.556,338.3386,350.8663,393.15329
2041.223,331.49607,346.03628,389.93328
2043.887,332.5023,341.40755,385.3046
2046.55,330.48976,342.01124,385.90828
2049.212,324.45226,344.82868,378.26088
2051.871,325.25754,339.39527,377.25498
2054.529,318.81763,333.3579,377.25508
2057.184,321.03095,328.32623,371.82092
2059.838,311.37109,331.14384,367.19237
2062.49,308.95605,329.73506,361.75866
2065.14,310.3651,323.89915,358.33781
2067.789,307.94957,321.0811,359.14217
2070.436,308.5536,319.0689,352.70258
2073.08,300.30233,315.04389,350.28759
2075.723,301.71116,319.06897,353.50764
2078.365,300.30228,313.03135,348.27506
2081.004,298.69232,308.40265,344.85389
2083.642,295.47215,310.01247,341.23123
2086.277,296.27698,302.7673,341.02979
2088.911,291.84972,306.39007,339.21885
2091.544,286.01363,311.42152,334.99286
2094.174,282.18983,299.74898,332.37659
2096.803,284.20202,291.09487,323.52126
2099.429,281.78715,288.07625,323.11893
2102.054,282.79348,304.17638,324.32651
2104.678,276.55481,287.27145,319.09417
2107.299,272.52961,286.26502,317.68523
2109.919,272.52991,290.29037,313.45934
2112.537,275.34744,286.46659,314.66684
2115.153,268.90728,287.47275,309.23298
2117.767,270.31595,281.0326,310.84287
2120.379,260.25322,278.81872,307.01899
2122.99,260.65561,269.96352,302.18885
2125.599,262.06442,268.5548,300.37764
2128.206,251.59942,266.54243,296.7553
2130.812,253.20966,265.9389,293.33429
2133.415,252.60556,270.56733,294.54139
2136.017,252.80678,262.11472,289.91259
2138.617,248.78199,262.71875,286.69288
2141.215,247.97678,262.11478,290.31517
2143.812,248.98319,259.09615,278.84402
2146.407,244.95804,258.29105,287.09523
2149.0,244.15297,255.6747,281.66137
2151.591,244.15269,255.27191,275.82477
2154.181,242.34181,258.49237,278.84399
2156.768,236.90755,251.44808,275.01973
2159.354,238.11536,254.86969,277.63634
2161.939,243.75032,257.08333,277.43493
2164.521,238.11546,249.63722,270.99514
2167.102,237.10924,256.07736,268.58017
2169.681,235.90139,246.61813,274.61736
2172.258,233.88913,256.27856,269.78763
2174.833,233.88906,254.46721,274.01384
2177.407,237.914,256.68085,271.79992
2179.979,232.27881,247.42313,267.97604
2182.549,238.11548,251.85103,272.60519
2185.118,236.70663,249.83842,269.78758
