USB4F00653_1:101,
466.126,541.85638
466.337,633.31323
466.548,455.17192
466.759,324.31163
466.97,880.56176
467.181,772.28123
467.392,828.42032
467.603,827.37313
467.814,847.8968
468.025,648.83021
468.236,331.24628
468.447,849.7815
468.658,876.37431
468.869,521.71155
469.079,456.01172
469.29,816.48194
469.501,729.95425
469.712,740.43229
469.923,1010.31976
470.133,484.56225
470.344,639.81378
470.555,855.22605
470.766,424.30562
470.976,346.58534
471.187,910.49887
471.398,615.06826
471.609,429.13548
471.819,574.79568
472.03,912.80149
472.24,700.61198
472.451,426.61557
472.662,489.18019
472.872,680.06908
473.083,831.14298
473.293,846.64033
473.504,490.64951
473.715,714.44546
473.925,761.80532
474.136,541.2269
474.346,1200.17343
474.557,1055.50214
474.767,496.52661
474.978,526.32831
475.188,470.70755
475.398,690.13125
475.609,491.90891
475.819,485.19198
476.03,197.95579
476.24,837.84472
476.45,891.23926
476.661,304.97683
476.871,515.41572
477.081,438.79471
477.292,450.97281
477.502,368.64544
477.712,432.91525
477.923,1011.99339
478.133,830.72411
478.343,851.45676
478.553,319.47818
478.764,952.15051
478.974,662.24903
479.184,631.00652
479.394,239.59675
479.604,679.85944
479.814,386.92119
480.025,506.39123
480.235,411.49521
480.445,739.17496
480.655,797.21111
480.865,199.21782
481.075,822.97485
481.285,668.32904
481.495,467.7685
481.705,501.77383
481.915,609.40559
482.125,594.51382
482.335,628.69977
482.545,441.10443
482.755,379.14903
482.965,833.65616
483.175,486.87124
483.385,336.07931
483.595,352.46837
483.805,564.30625
484.014,772.70026
484.224,812.29283
484.434,803.28586
484.644,1014.29462
484.854,430.6054
485.064,271.97534
485.273,453.9122
485.483,1513.99632
485.693,528.0071
485.903,237.70426
486.112,762.43389
486.322,1419.46634
486.532,580.66944
486.742,623.45703
486.951,313.38359
487.161,491.48911
487.371,632.26473
487.58,666.02286
487.79,326.20293
488,514.36639
488.209,579.83035
488.419,602.48424
488.628,456.64157
488.838,973.91404
489.047,720.73299
489.257,446.56361
489.466,672.52202
489.676,627.02211
489.885,754.0527
490.095,1030.19312
490.304,703.12725
490.514,681.32689
